Airlines,SCHEDULED TIME OF Departure,Actual Time of Departure,Flight,Destination,Status
Buddha Air,15:30:0,15:30:0,BHA557,Simara Airport,----
Yeti Airlines,15:35:0,15:35:0,NYT925,Bhadrapur,----
Shree Airlines,15:35:0,15:35:0,SHA227,Dhangadhi,----
Yeti Airlines,15:40:0,15:40:0,NYT877,Bhairahawa,----
Buddha Air,15:50:0,15:50:0,BHA619,Pokhara,----
Buddha Air,15:50:0,15:50:0,BHA803,Bhairahawa,----
Yeti Airlines,15:50:0,15:50:0,NYT683,Pokhara,----
Buddha Air,15:55:0,15:55:0,BHA407,Nepalgunj,----
Buddha Air,15:55:0,15:55:0,BHA959,Bhadrapur,----
Buddha Air,16:0:0,16:0:0,BHA661,Pokhara,----
Yeti Airlines,16:0:0,16:0:0,NYT787,Biratnagar,----
Shree Airlines,16:15:0,16:15:0,SHA437,Nepalgunj,----
Buddha Air,16:30:0,16:30:0,BHA559,Simara Airport,----
Buddha Air,16:40:0,16:40:0,BHA805,Bhairahawa,----
Buddha Air,16:55:0,16:55:0,BHA711,Biratnagar,----
Buddha Air,17:0:0,17:0:0,BHA509,Janakpur,----
Shree Airlines,17:5:0,17:5:0,SHA659,Pokhara,----
Buddha Air,17:15:0,17:15:0,BHA663,Pokhara,----
Yeti Airlines,17:20:0,17:20:0,NYT687D/S,Pokhara,----
Shree Airlines,17:30:0,17:30:0,SHA739,Biratnagar,----
Yeti Airlines,17:35:0,17:35:0,NYT879,Bhairahawa,----
Shree Airlines,17:35:0,17:35:0,SHA229,Dhangadhi,----
Buddha Air,18:5:0,18:5:0,BHA665,Pokhara,----
Buddha Air,18:5:0,18:5:0,BHA713,Biratnagar,----
Buddha Air,18:5:0,18:5:0,BHA807,Bhairahawa,----
Buddha Air,18:10:0,18:10:0,BHA411,Nepalgunj,----
Yeti Airlines,18:20:0,18:20:0,NYT789,Biratnagar,----
Shree Airlines,18:35:0,18:35:0,SHA439,Nepalgunj,----
Buddha Air,19:0:0,19:0:0,BHA667,Pokhara,----
Buddha Air,19:0:0,19:0:0,BHA715,Biratnagar,----
Yeti Airlines,19:0:0,19:0:0,NYT687,Pokhara,----
Yeti Airlines,19:25:0,19:25:0,NYT689,Pokhara,----
