Airlines,Scheduled Time of Arrival,Estimated Time of Arrival,Flight,Origin,Status
Buddha Air,15:10:0,15:10:0,BHA858,Bhairahawa,----
Yeti Airlines,15:10:0,15:10:0,NYT924,Bhadrapur,----
Yeti Airlines,15:15:0,15:15:0,NYT424,Nepalgunj,----
Buddha Air,15:20:0,15:20:0,BHA508,Janakpur,----
Buddha Air,15:25:0,15:25:0,BHA406,Nepalgunj,----
Buddha Air,15:30:0,15:30:0,BHA380,Bharatpur,----
Buddha Air,15:30:0,15:30:0,BHA616,Pokhara,----
Yeti Airlines,15:35:0,15:35:0,NYT682,Pokhara,----
Buddha Air,15:40:0,15:40:0,BHA708,Biratnagar,----
Shree Airlines,15:45:0,15:45:0,SHA828,Bhairahawa,----
Shree Airlines,16:10:0,16:10:0,SHA124,Surkhet,----
Buddha Air,16:15:0,16:15:0,BHA138,Surkhet,----
Buddha Air,16:15:0,16:15:0,BHA618,Pokhara,----
Buddha Air,16:25:0,16:25:0,BHA558,Simara Airport,----
Shree Airlines,16:25:0,16:25:0,SHA226,Dhangadhi,----
Buddha Air,16:35:0,16:35:0,BHA802,Bhairahawa,----
Shree Airlines,16:40:0,16:40:0,SHA738,Biratnagar,----
Yeti Airlines,16:45:0,16:45:0,NYT574,Janakpur,----
Buddha Air,17:0:0,17:0:0,BHA710,Biratnagar,----
Yeti Airlines,17:10:0,17:10:0,NYT684,Pokhara,----
Yeti Airlines,17:10:0,17:10:0,NYT878,Bhairahawa,----
Buddha Air,17:20:0,17:20:0,BHA254,Dhangadhi,----
Buddha Air,17:20:0,17:20:0,BHA560,Simara Airport,----
Buddha Air,17:25:0,17:25:0,BHA620,Pokhara,----
Buddha Air,17:35:0,17:35:0,BHA804,Bhairahawa,----
Yeti Airlines,17:35:0,17:35:0,NYT926,Bhadrapur,----
Buddha Air,17:40:0,17:40:0,BHA662,Pokhara,----
Yeti Airlines,17:50:0,17:50:0,NYT788,Biratnagar,----
Shree Airlines,17:55:0,17:55:0,SHA228,Dhangadhi,----
Buddha Air,18:0:0,18:0:0,BHA960,Bhadrapur,----
Buddha Air,18:10:0,18:10:0,BHA806,Bhairahawa,----
Buddha Air,18:15:0,18:15:0,BHA510,Janakpur,----
Shree Airlines,18:15:0,18:15:0,SHA438,Nepalgunj,----
Buddha Air,18:20:0,18:20:0,BHA408,Nepalgunj,----
Shree Airlines,18:25:0,18:25:0,SHA660,Pokhara,----
Yeti Airlines,18:40:0,18:40:0,NYT688D/S,Pokhara,----
Buddha Air,18:50:0,18:50:0,BHA712,Biratnagar,----
Yeti Airlines,19:5:0,19:5:0,NYT880,Bhairahawa,----
Shree Airlines,19:5:0,19:5:0,SHA740,Biratnagar,----
Buddha Air,19:40:0,19:40:0,BHA666,Pokhara,----
Buddha Air,19:50:0,19:50:0,BHA808,Bhairahawa,----
Buddha Air,20:0:0,20:0:0,BHA714,Biratnagar,----
Yeti Airlines,20:10:0,20:10:0,NYT790,Biratnagar,----
Buddha Air,20:35:0,20:35:0,BHA412,Nepalgunj,----
Buddha Air,20:55:0,20:55:0,BHA716,Biratnagar,----
